smoothed loss,lr
1.456444263458252,1.791744205716795e-05
1.4152996063232421,3.483488411438031e-05
1.3777987813949586,5.175232617154826e-05
1.3421425943374634,6.866976822871621e-05
1.2536260823249818,8.558721028592857e-05
1.2701812537384036,0.00010250465234309653
1.318364536911011,0.00011942209440026447
1.3200303841827397,0.00013633953645743243
1.271396893596497,0.00015325697851464477
1.2791534807966922,0.00017017442057181274
1.282391464446924,0.00018709186262898069
1.325275068072432,0.00020400930468619306
1.3255293167336415,0.000220926746743361
1.2508814173303948,0.00023784418880052894
1.2910301317662323,0.0002547616308577413
1.2809889022422096,0.0002716790729149093
1.2611416819820613,0.00028859651497207726
1.2958296253784347,0.00030551395702928957
1.2447445880972425,0.00032243139908645754
1.2714746627492173,0.0003393488411436255
1.2448110368476284,0.00035626628320079343
1.272020871371108,0.0003731837252580058
1.213245650076928,0.00039010116731517377
1.229864160175373,0.0004070186093723417
1.2823860724411407,0.00042393605142955406
1.3739593807571728,0.00044085349348672203
1.3219816115469616,0.00045777093554388995
1.2471992156482443,0.0004746883776011023
1.2397628610592448,0.0004916058196582703
1.1819291381248922,0.0005085232617154383
1.1489536260135247,0.0005254407037726062
1.1889765814596234,0.0005423581458298185
1.2105821574253892,0.0005592755878869865
1.086497525733555,0.0005761930299441545
1.1271807514523227,0.0005931104720013668
1.1460979909018485,0.0006100279140585348
1.1197165751708198,0.0006269453561157027
1.0237544579706708,0.0006438627981729151
1.0621945701759752,0.000660780240230083
1.1059883469519374,0.000677697682287251
1.0830462165019796,0.0006946151243444633
1.1305045038336028,0.0007115325664016313
1.2179525971312133,0.0007284500084587993
1.1483295106807396,0.0007453674505159672
1.1545345659191644,0.0007622848925731795
1.1812700649210006,0.0007792023346303475
1.1364312426335168,0.0007961197766875155
1.0965035761266195,0.0008130372187447278
1.073858551571309,0.0008299546608018958
1.0317997514323707,0.0008468721028590637
0.995600130487785,0.0008637895449162761
1.0071181268130185,0.000880706986973444
1.0526683497933105,0.000897624429030612
1.0252013698027576,0.0009145418710878243
0.9813304698313113,0.0009314593131449923
0.954168653952665,0.0009483767552021603
0.9355821064850385,0.0009652941972593281
0.9466818612210508,0.0009822116393165404
0.9386140617841527,0.0009991290813737084
0.9226362159342802,0.0010160465234308764
1.0021348754955322,0.0010329639654880886
0.9462341793690515,0.0010498814075452566
0.9302412969521199,0.0010667988496024245
0.9101198516409806,0.001083716291659637
0.9100472610887855,0.001100633733716805
0.9455841765162921,0.001117551175773973
0.8841567743108731,0.0011344686178311409
0.8287128534544359,0.001151386059888353
0.8710573694411,0.001168303501945521
0.9051615302803581,0.001185220944002689
0.9296571973993353,0.0012021383860599014
0.9430044463502544,0.0012190558281170694
0.8762272494019809,0.0012359732701742374
0.8785299934531644,0.0012528907122314496
0.9011494737931407,0.0012698081542886176
0.8536351738030368,0.0012867255963457855
0.8020104978604836,0.001303643038402998
0.7594825318752705,0.001320560480460166
0.7810328238248014,0.001337477922517334
0.7752834743689843,0.0013543953645745019
0.7900587587699373,0.001371312806631714
0.7799704884803358,0.001388230248688882
0.782662957137113,0.00140514769074605
0.8279123538536113,0.0014220651328032624
0.843455190166019,0.0014389825748604304
0.8299094158046902,0.0014559000169175984
0.8129361762709191,0.0014728174589748106
0.8283696209674495,0.0014897349010319786
0.8913731603054538,0.0015066523430891465
0.8272879265330899,0.001523569785146359
0.7619652384585277,0.001540487227203527
0.7410223789267649,0.001557404669260695
0.7302810913127986,0.0015743221113178629
0.8157883457980417,0.001591239553375075
0.8308273571842404,0.001608156995432243
0.7902249827475145,0.001625074437489411
0.7479817497325576,0.0016419918795466234
0.7659873189602404,0.0016589093216037914
0.7487498380402017,0.0016758267636609594
0.8611286527045003,0.0016927442057181716
0.8569421606165116,0.0017096616477753396
0.8584286321721034,0.0017265790898325075
0.841571275355145,0.0017434965318896755
0.7966072471632359,0.001760413973946888
0.7974834729587077,0.001777331416004056
0.7723709097985457,0.0017942488580612239
0.7808061879065857,0.001811166300118436
0.8423705133745851,0.001828083742175604
0.8109027411897805,0.001845001184232772
0.7602874252287409,0.0018619186262899844
0.7848143866131991,0.0018788360683471524
0.7634730569895339,0.0018957535104043204
0.6902217095991956,0.0019126709524615326
0.6865381579320421,0.0019295883945187006
0.7086300357755654,0.0019465058365758685
0.7548615777156061,0.001963423278633037
0.8128999824254757,0.001980340720690249
0.8227173133634762,0.001997258162747417
0.8020555411929478,0.002014175604804585
0.8145487813277713,0.0020310930468617973
0.8318999336658852,0.0020480104889189655
0.7803372563122859,0.0020649279309761332
0.7591867185591976,0.0020818453730333457
0.746338430004066,0.0020987628150905134
0.7286384367599056,0.0021156802571476816
0.7229725451194419,0.002132597699204894
0.7354973579186737,0.002149515141262062
0.721318938314004,0.00216643258331923
0.7469708982937202,0.0021833500253763977
0.7326161673730743,0.00220026746743361
0.6711214809470283,0.002217184909490778
0.7077689312976922,0.002234102351547946
0.7551914686427376,0.0022510197936051585
0.7269072122944086,0.0022679372356623263
0.6987154275236678,0.0022848546777194945
0.7155872297333202,0.0023017721197767065
0.677981329921605,0.0023186895618338746
0.6855583889990822,0.0023356070038910424
0.6578711234497846,0.0023525244459482106
0.6390144437923289,0.002369441888005423
0.6460148501693611,0.0023863593300625908
0.6077989783524995,0.002403276772119759
0.6060369012069324,0.002420194214176971
0.6417936680564579,0.002437111656234139
0.6433656452377078,0.002454029098291307
0.6783603499952504,0.0024709465403485193
0.6588533457615813,0.0024878639824056875
0.6058209011156432,0.0025047814244628553
0.603920369879331,0.0025216988665200677
0.5927726980335918,0.0025386163085772354
