train,dev,test
0.8789552450180054,0.7597822546958923,0.5214511752128601
0.9611555337905884,0.9130366742610931,0.5497178733348846
0.940353254477183,1.0310543576876323,0.47031200925509137
0.9731970578432083,1.0116719752550125,0.5238248333334923
0.9459625244140625,0.9649599432945252,0.5330047070980072
1.0803845127423604,0.8742278317610422,0.6191016981999079
1.104654312133789,0.803967514208385,0.6594915432589394
1.05804443359375,0.7301621567457914,0.6694542579352856
1.0782372289233737,0.6885441624455981,0.6369634833600786
1.0492404460906983,0.6759236827492714,0.6123447686433792
1.0267509601332925,0.6790688701651313,0.5910616950555281
1.014117752512296,0.6742067548135916,0.5588401680191358
1.0303635826477637,0.6760061394709808,0.5359961917767158
1.0506958663463593,0.6430344762546676,0.531011530331203
1.030894947052002,0.6130500386158625,0.5193543354670207
1.05222737044096,0.5882193427532911,0.5051106307655573
1.0306219248210682,0.5655075241537655,0.48909800105235157
1.0284024642573462,0.5445003476407793,0.4751431735025512
1.0159560316487362,0.5297092073842099,0.4644789734953328
1.0402651250362396,0.525749109685421,0.45477130338549615
1.0509260665802729,0.5301174933002109,0.44718287601357415
1.0374814136461779,0.5396305661309849,0.4436295892704617
1.0369271895159846,0.5509556233882904,0.4382122657869173
1.0259611308574677,0.5808321498334408,0.4355469873795907
1.0306810140609741,0.5912365329265594,0.43963625490665437
1.0335828937017,0.6165741624740454,0.46088038098353606
1.0176293982399836,0.6280484762456682,0.4894414704155039
1.0263164596898215,0.6373668536543846,0.5077861978539399
1.019385196011642,0.6474156472189673,0.5238745628759779
1.0184280077616374,0.6591465105613072,0.5301956221461296
1.0080598496621656,0.67569288419139,0.5478346391070273
0.9990830905735493,0.6795746879652143,0.5628922474570572
0.9843655246676821,0.6772138611836866,0.5694806526104609
0.9801033735275269,0.67612225606161,0.5945188530227717
0.9803302356175014,0.6662971726485661,0.5968403684241431
0.9724233200152715,0.6622291397717264,0.5949698144363033
0.9723000494209496,0.6533466754732905,0.5880702037263561
0.9564999883112154,0.6416880802104348,0.589207614330869
0.9641973429765457,0.6324726824577038,0.6123944914493805
0.9577125094830989,0.6210541293025017,0.6182023551315069
0.9582345841861353,0.6089007076693744,0.6137056768667407
0.950494375257265,0.5981929068054471,0.6108948606110755
0.9502932644167612,0.5871334205879721,0.6066445961248043
0.9541614875197411,0.5776243465529247,0.6065266068008813
