train,dev,test
0.5071648233557849,0.5020384940556445,0.4429291443257923
0.4732024732593271,0.4655626915737372,0.4035508474652093
0.46520537408600326,0.4630271894953969,0.39204459142956294
0.46072292807097714,0.5036811392874906,0.4440046517414547
0.45845020073220316,0.4890007218118123,0.432733924670606
0.4550360991513198,0.46383003595870215,0.4007841671059622
0.45200919207299656,0.4330344665479692,0.38403645172520867
0.449144895550826,0.46018054481985865,0.40436389942423623
0.44861320762444307,0.41944635634972666,0.36369900251110265
0.4467911137199293,0.41890612254333626,0.36639387376495536
0.4445872805526891,0.4206222323466509,0.366830183901402
0.443081317306606,0.4566848216666635,0.3994275133599408
0.4416091088228815,0.4505082491345443,0.39494257193706533
0.43949882519666383,0.44687421883817513,0.3884690489863807
0.43974406932372295,0.4398045685843233,0.3948062048176211
0.43722616053169044,0.4180901938925071,0.36922682870408385
0.43874661160245426,0.4256106855609091,0.3654820732166084
0.43606000034925424,0.4144476021825572,0.3679314195835661
0.4356861516353395,0.4239864115756336,0.36845192198355736
0.4339988942190568,0.4171112343809001,0.3712427837598184
0.43181398077784916,0.422398588840346,0.36780299089698953
0.43198204615789243,0.42145621450961895,0.3698600091409214
0.43136383694893954,0.41450034916133216,0.3617706307627198
0.4310805265119332,0.42543553314691823,0.366045308950825
0.4307090378717146,0.4481322535369184,0.38164686053789176
0.42880417611473987,0.4078648715387032,0.36626950123134305
0.4283917582333283,0.45775370662553555,0.399660557556657
0.42888164817726004,0.43102127617437114,0.3834931275014032
0.428289385117601,0.42396321781638807,0.3730390437875285
0.42651855448220055,0.40878936961919665,0.36563093298383376
